task_id,title,commit,commit_date,source_files,num_files,condition,outcome,cost_usd,turns,stop_reason,what_tried,why_wrong,missing_knowledge
jenkins-23859,API tokens with expiration date,5490f91afa,2026-01-26,"core/src/main/java/hudson/model/userproperty/UserPropertyCategorySecurityAction.java, core/src/main/java/jenkins/model/navigation/UserAction.java, core/src/main/java/jenkins/security/ApiTokenProperty.java, core/src/main/java/jenkins/security/apitoken/ApiTokenStore.java, core/src/main/java/jenkins/security/apitoken/TokenUuidAndPlainValue.java",5,level1_full,FAIL,1.0494,165,tool_use,"The agent attempted to add expiration date functionality to API tokens by modifying ApiTokenStore.java, adding imports for date/time handling (like LocalDate) and modifying the token generation method to support expiration dates. It focused on the token storage and generation layer, making changes to how tokens are created and stored with expiration information.","The agent worked on the wrong layer of the fix. The actual ground truth diff shows the required change was minimal and focused solely on UserPropertyCategorySecurityAction.java — specifically adding a getBadge() method that delegates to ApiTokenProperty to display warning/error badges in the UI sidebar. The agent ignored this critical UI integration point and instead dug deep into ApiTokenStore.java internals, which was not the missing piece needed to complete the bug fix as described.","A Jenkins contributor would know that the badge system (jenkins.management.Badge) is a well-established Jenkins UI pattern for surfacing warnings in navigation elements like sidepanels, and that UserPropertyCategorySecurityAction is the correct integration point for adding sidebar badges to user property pages. They would also recognize that the PR description's mention of 'badge for the security action' maps directly to implementing getBadge() in the action class, following the existing convention used elsewhere in Jenkins for surfacing actionable status indicators in navigation."
jenkins-23859,API tokens with expiration date,5490f91afa,2026-01-26,"core/src/main/java/hudson/model/userproperty/UserPropertyCategorySecurityAction.java, core/src/main/java/jenkins/model/navigation/UserAction.java, core/src/main/java/jenkins/security/ApiTokenProperty.java, core/src/main/java/jenkins/security/apitoken/ApiTokenStore.java, core/src/main/java/jenkins/security/apitoken/TokenUuidAndPlainValue.java",5,issue_report,FAIL,0.8649,134,tool_use,"The agent attempted to implement API token expiration by modifying ApiTokenStore.java to add expiration date support, including adding a LocalDate import and modifying the token generation method to accept or store expiration dates. It focused on the data model layer, trying to add expiration fields to the token storage mechanism.","The agent's approach was far too broad and complex compared to the actual fix needed. The ground truth diff shows the actual fix was minimal: just adding a `getBadge()` method to `UserPropertyCategorySecurityAction.java` that delegates to `ApiTokenProperty.getBadge()`, along with two import statements. The agent spent its turns making extensive changes to ApiTokenStore.java rather than implementing the simple UI badge notification feature that was the actual missing piece.","A Jenkins contributor would know that Jenkins uses a Badge system (jenkins.management.Badge) for displaying warning indicators in the UI navigation, and that the UserPropertyCategorySecurityAction's sidebar/navigation integration pattern requires a `getBadge()` method to surface warnings like expiring tokens. The contributor would recognize that the core expiration infrastructure might already exist in ApiTokenProperty and that the missing link was simply exposing the badge through the security action's navigation hook, rather than rebuilding the entire token storage system from scratch."
jenkins-23915,Allow entirely disabling CSP headers,67db13142a,2025-12-11,"core/src/main/java/jenkins/security/csp/CspHeader.java, core/src/main/java/jenkins/security/csp/impl/CspDecorator.java, core/src/main/java/jenkins/security/csp/impl/CspFilter.java, core/src/main/java/jenkins/security/csp/impl/SystemPropertyHeaderDecider.java",4,level1_full,FAIL,1.0788,176,tool_use,"The agent added a `None(null)` enum constant to `CspHeader` to represent the disabled state, and modified `SystemPropertyHeaderDecider.decide()` to return `Optional.of(CspHeader.None)` when the system property is set to an empty string. It also added a null guard when filtering headers by name to avoid NPE on the `None` constant. Additionally, the agent added a Javadoc comment to the `None` constant.","The agent placed the `None` enum constant at the beginning of the enum (before `ContentSecurityPolicy`), whereas the ground truth places it at the end (after `ContentSecurityPolicyReportOnly`). The agent also added an unnecessary Javadoc comment to `None` and did not add the `@CheckForNull` annotation to the `getHeaderName()` method, which is required to properly signal that `null` is a valid return value. The agent also modified `SystemPropertyHeaderDecider` with extra logic not present in the ground truth diff, which only changes `CspHeader.java`.","A Jenkins contributor would know that the minimal, focused change is preferred — the ground truth only modifies `CspHeader.java` by adding `None(null)` at the end of the enum and annotating `getHeaderName()` with `@CheckForNull`, trusting that existing downstream consumers (like `SystemPropertyHeaderDecider`) would naturally handle the null return value. The contributor would also know Jenkins conventions around `@CheckForNull` from FindBugs/SpotBugs annotations to document nullable returns, and that enum ordering matters for readability/convention (new 'escape hatch' values go last). The agent over-engineered the solution by modifying additional files unnecessarily."
jenkins-23915,Allow entirely disabling CSP headers,67db13142a,2025-12-11,"core/src/main/java/jenkins/security/csp/CspHeader.java, core/src/main/java/jenkins/security/csp/impl/CspDecorator.java, core/src/main/java/jenkins/security/csp/impl/CspFilter.java, core/src/main/java/jenkins/security/csp/impl/SystemPropertyHeaderDecider.java",4,issue_report,FAIL,1.0264,153,tool_use,"The agent attempted to add a 'None' enum constant to CspHeader to represent the absence of CSP headers, and also modified SystemPropertyHeaderDecider to handle the case where the system property is set to an empty string by mapping it to the new NONE constant. The agent also added the @CheckForNull annotation inline using the fully qualified class name rather than importing it.","The agent named the new enum constant 'NONE' (uppercase) instead of 'None' (PascalCase) as used in the ground truth diff, which would break consistency with the existing naming convention of the enum (ContentSecurityPolicy, ContentSecurityPolicyReportOnly). Additionally, the agent added an inline fully-qualified annotation rather than adding a proper import statement at the top of the file, and it made additional changes to SystemPropertyHeaderDecider that weren't part of the minimal required fix.","A Jenkins contributor would know the project's naming conventions for enum constants, which follows PascalCase (like ContentSecurityPolicy) rather than SCREAMING_SNAKE_CASE. They would also know to add proper import statements at the top of the file rather than using fully-qualified annotations inline, and they would understand the principle of minimal diff — that the fix only needed to add the None enum constant and the @CheckForNull annotation, without necessarily modifying other files like SystemPropertyHeaderDecider unless explicitly required by the bug."
jenkins-26240,Use system temp directory for CommandInstaller scripts,29156044af,2026-02-18,core/src/main/java/hudson/tools/AbstractCommandInstaller.java,1,level1_full,PASS,0.2189,79,end_turn,,,
jenkins-26240,Use system temp directory for CommandInstaller scripts,29156044af,2026-02-18,core/src/main/java/hudson/tools/AbstractCommandInstaller.java,1,issue_report,PASS,0.5455,149,end_turn,,,
jenkins-26255,Do not compute CSP header if disabled,6227cd1091,2026-02-07,core/src/main/java/jenkins/security/csp/impl/CspFilter.java,1,level1_full,FAIL,1.2747,170,tool_use,"The agent attempted to fix the unnecessary CSP header computation by moving the `isResourceRequest` check before the `headerValue` computation, and then using a ternary operator to conditionally compute `headerValue` only when `headerShouldBeSet` is true (returning `null` otherwise). This partially addressed the issue of skipping computation when CSP is disabled.","The agent's fix still computes the header value even for resource requests (when `isResourceRequest` is true), because it only guards on `headerShouldBeSet` but not on `!isResourceRequest`. The ground truth fix moves the computation inside the `if (headerShouldBeSet && !isResourceRequest)` block entirely, and also initializes `headerValue` to an empty string `""""` instead of `null`, which matters for the `hasUnexpectedDifference` comparison logic later. Additionally, the agent's fix doesn't update the second condition in the `finally` block (`if (headerShouldBeSet)` → `if (headerShouldBeSet && !isResourceRequest)`) and doesn't simplify the redundant `!isResourceRequest` check inside it.","A Jenkins contributor would know that resource requests (served via `ResourceDomainConfiguration`) intentionally should not have CSP headers set, so computing the header value for them is also wasteful and incorrect. They would also understand that initializing `headerValue` to `""""` (empty string) rather than `null` is semantically important for the `hasUnexpectedDifference` method's comparison logic, since the method likely handles empty strings and nulls differently. Furthermore, a contributor would recognize that the `finally` block's condition also needed updating to be consistent with the new guard logic, ensuring the diagnostic logging path is also gated on `!isResourceRequest`."
jenkins-26255,Do not compute CSP header if disabled,6227cd1091,2026-02-07,core/src/main/java/jenkins/security/csp/impl/CspFilter.java,1,issue_report,FAIL,0.5269,137,tool_use,"The agent used 137 turns but made no actual file edits or writes to the source file. Despite having access to the task and the file path, the agent never produced any concrete code changes — the reconstructed diff shows no Edit/Write tool calls were made.","The agent failed to produce any output changes at all, meaning it either got stuck in an analysis/reasoning loop, encountered tool failures, or was unable to locate and commit to a solution within its allotted turns. Without any Edit/Write operations, the fix was never applied regardless of whether the agent understood the problem.","A Jenkins contributor would know that the CSP computation via `getContentSecurityPolicyHeaderValue` can invoke extension points (via `ExtensionList` or similar SPI mechanisms) that do significant work, and that moving this call inside the conditional guard is both safe and sufficient. They would also understand that the `isResourceRequest` check in the `finally` block was redundant with the outer guard once the header value computation was moved, allowing simplification of the conditional logic there — this kind of two-site refactoring requires understanding how the filter's control flow interacts with the response lifecycle."
jenkins-26291,Fix link to polling log of upstream build caused by an SCM trigger after a Jenkins restart,da0ab1c271,2026-02-18,core/src/main/java/hudson/model/Cause.java,1,level1_full,FAIL,0.539,101,end_turn,"The agent attempted to add the `onLoad(@NonNull Run<?, ?> build)` override to the `UpstreamCause` class (or a nested class like `DeeplyNestedUpstreamCause`), delegating to `onLoad(build.getParent(), build.getNumber())`. It also attempted to write test fixture configuration XML files to support a new test case verifying the fix.","The agent's code change appears to be functionally identical to the ground truth fix, so the core logic was correct. However, based on the reconstructed agent log, the Edit tool call targeted the wrong class or location — it appears the agent may have added the `onLoad(Run)` override inside `DeeplyNestedUpstreamCause` or another nested class rather than `UpstreamCause` itself, or the edit was placed incorrectly relative to the existing `onLoad(Job, int)` method. The additional test fixture files written suggest the agent was also trying to add integration tests, which may have been incomplete or malformed, potentially causing compilation or test failures.","A Jenkins contributor would know the precise class hierarchy in `Cause.java` — specifically that `UpstreamCause` is the class requiring the fix (not `DeeplyNestedUpstreamCause`), and that `UpstreamCause` already had an `onLoad(Job, int)` method but was missing the `onLoad(Run)` override. They would also know that Jenkins test fixtures follow a strict directory and XML format convention, and that adding unnecessary or malformed fixture files can break the build, whereas the actual fix is a minimal 4-line addition to the correct class."
jenkins-26291,Fix link to polling log of upstream build caused by an SCM trigger after a Jenkins restart,da0ab1c271,2026-02-18,core/src/main/java/hudson/model/Cause.java,1,issue_report,FAIL,0.8233,138,end_turn,"The agent attempted to add the `onLoad(@NonNull Run<?, ?> build)` override to the `UpstreamCause` class, which is exactly the fix required. It also tried to create test fixture files for a new test case to verify the fix. The core code change matches the ground truth diff precisely.","The agent's actual code change appears correct and matches the ground truth diff. However, the agent used 138 turns and apparently failed, likely because it spent excessive turns on ancillary work like creating test fixtures, navigating the codebase, or attempting to verify the fix in ways that didn't converge. The reconstructed changes show the right edit was made, but the agent may have introduced errors elsewhere, failed to find the correct location in the file, or the test infrastructure it created was malformed or unnecessary and caused build failures.","A Jenkins contributor would know that the `UpstreamCause` class already had an `onLoad(Job, int)` method but the `onLoad(Run)` override was the missing delegation point called during deserialization after restart, and that the fix is minimal — just adding the delegation method without touching tests or fixtures. They would also know that the `onLoad(Run)` method is called during `Run` deserialization from disk (after Jenkins restart), and without this override, the cause's transient fields (like the polling log reference) are never initialized for upstream causes, which is specifically what breaks the polling log link."
jenkins-26331,Encode log recorder name when redirecting,3329d5d06c,2026-02-21,core/src/main/java/hudson/logging/LogRecorderManager.java,1,level1_full,FAIL,1.7203,165,tool_use,The agent attempted to fix the bug by modifying the `LogRecorderManager.java` file to encode the log recorder name using `Util.rawEncode(name)` before appending `/configure` to form the redirect URL. This is exactly the same change as the ground truth fix.,"The agent's change is actually correct and identical to the ground truth fix. The issue is not with the code change itself but rather the stop reason was `tool_use`, meaning the agent stopped after issuing the edit tool call without completing the full workflow (e.g., verifying the change, running tests, or properly concluding the task). The agent made the right edit but may have failed to finalize or confirm the fix properly.","A Jenkins contributor would know that after making a code edit, the agent should verify the change was applied correctly, potentially run or reference tests, and cleanly conclude the task rather than stopping mid-workflow with a pending tool call. The `tool_use` stop reason suggests the agent got stuck in a loop or failed to properly close out the session after making the edit, which reflects a lack of understanding of the expected end-to-end agentic workflow for submitting a fix."
jenkins-26331,Encode log recorder name when redirecting,3329d5d06c,2026-02-21,core/src/main/java/hudson/logging/LogRecorderManager.java,1,issue_report,FAIL,1.0045,147,tool_use,"The agent made no actual code changes — there are no Edit/Write tool calls in the log despite using 147 turns before hitting the stop reason of 'tool_use'. The agent apparently spent its entire budget exploring the codebase, reading files, and reasoning about the problem without ever committing a fix to disk.","The agent failed to translate its analysis into a concrete file edit. Even if it correctly identified the root cause (unencoded non-ASCII characters in the redirect URL), it never called the Edit or Write tool to apply the one-line fix, meaning the bug remained unfixed regardless of how much investigation was done.","A Jenkins contributor would know that `Util.rawEncode()` is the idiomatic Jenkins utility for percent-encoding URL path segments, and would recognize immediately that a redirect constructed by string-concatenating a user-supplied name needs encoding before being passed to `HttpRedirect`. They would also know the codebase well enough to make the change confidently and quickly, rather than exhausting tool-call budgets in exploration without acting."
jenkins-26597,Add streamLoadedBuilds method to avoid full map copy in getEstimatedDurationCandidates,8813df1869,2026-04-13,"core/src/main/java/jenkins/model/lazy/AbstractLazyLoadRunMap.java, core/src/main/java/jenkins/model/lazy/LazyBuildMixIn.java",2,level1_full,PASS,0.388,46,end_turn,,,
jenkins-26597,Add streamLoadedBuilds method to avoid full map copy in getEstimatedDurationCandidates,8813df1869,2026-04-13,"core/src/main/java/jenkins/model/lazy/AbstractLazyLoadRunMap.java, core/src/main/java/jenkins/model/lazy/LazyBuildMixIn.java",2,issue_report,PASS,0.149,46,end_turn,,,
jenkins-8814,[JENKINS-72469] Avoid repeated tool downloads from misconfigured HTTP servers,c8156d41f2,2024-01-01,core/src/main/java/hudson/FilePath.java,1,level1_full,PASS,0.4531,92,end_turn,,,
jenkins-8814,[JENKINS-72469] Avoid repeated tool downloads from misconfigured HTTP servers,c8156d41f2,2024-01-01,core/src/main/java/hudson/FilePath.java,1,issue_report,PASS,0.3697,51,end_turn,,,
jenkins-9012,[JENKINS-72796] stable context classloader for Computer.threadPoolForRemoting,89195cc248,2024-03-06,core/src/main/java/hudson/model/Computer.java,1,level1_full,PASS,0.372,64,end_turn,,,
jenkins-9012,[JENKINS-72796] stable context classloader for Computer.threadPoolForRemoting,89195cc248,2024-03-06,core/src/main/java/hudson/model/Computer.java,1,issue_report,PASS,0.3217,61,end_turn,,,
jenkins-9219,[JENKINS-73090] Handle CR from `LineTransformationOutputStream`,aaf4b64cc0,2024-05-18,"core/src/main/java/hudson/console/HyperlinkNote.java, core/src/main/java/hudson/console/LineTransformationOutputStream.java",2,level1_full,PASS,0.201,45,end_turn,,,
jenkins-9219,[JENKINS-73090] Handle CR from `LineTransformationOutputStream`,aaf4b64cc0,2024-05-18,"core/src/main/java/hudson/console/HyperlinkNote.java, core/src/main/java/hudson/console/LineTransformationOutputStream.java",2,issue_report,PASS,0.1431,33,end_turn,,,
jenkins-9370,[JENKINS-73246] Fix text shown in unexpected locale,0ad66571bf,2024-06-11,core/src/main/java/hudson/model/Descriptor.java,1,level1_full,PASS,0.186,41,end_turn,,,
jenkins-9370,[JENKINS-73246] Fix text shown in unexpected locale,0ad66571bf,2024-06-11,core/src/main/java/hudson/model/Descriptor.java,1,issue_report,PASS,0.3575,42,end_turn,,,
jenkins-9653,[JENKINS-73687] Make deserialization of `Map` fields in XML files more robust,dab6597416,2024-09-13,core/src/main/java/hudson/util/RobustMapConverter.java,1,level1_full,PASS,0.2228,33,end_turn,,,
jenkins-9653,[JENKINS-73687] Make deserialization of `Map` fields in XML files more robust,dab6597416,2024-09-13,core/src/main/java/hudson/util/RobustMapConverter.java,1,issue_report,PASS,0.1904,30,end_turn,,,
jenkins-9727,[JENKINS-63343] Validate element types for collections and maps when deserializing XML files,6651e8531e,2024-10-11,"core/src/main/java/hudson/util/RobustCollectionConverter.java, core/src/main/java/hudson/util/RobustMapConverter.java, core/src/main/java/hudson/util/RobustReflectionConverter.java",3,level1_full,PASS,0.8197,116,end_turn,,,
jenkins-9727,[JENKINS-63343] Validate element types for collections and maps when deserializing XML files,6651e8531e,2024-10-11,"core/src/main/java/hudson/util/RobustCollectionConverter.java, core/src/main/java/hudson/util/RobustMapConverter.java, core/src/main/java/hudson/util/RobustReflectionConverter.java",3,issue_report,PASS,1.3772,138,end_turn,,,
jenkins-9810,[JENKINS-73835] Do not allow builds to be deleted while they are still running and ensure build discarders run after builds are fully complete,d34b17ee4b,2024-10-12,"core/src/main/java/hudson/model/Run.java, core/src/main/java/hudson/tasks/LogRotator.java, core/src/main/java/jenkins/model/BackgroundGlobalBuildDiscarder.java, core/src/main/java/jenkins/model/GlobalBuildDiscarderListener.java",4,level1_full,FAIL,0.8024,190,tool_use,"The agent attempted to prevent deletion of running builds by adding a check inside the existing `synchronized(this)` block in the `delete()` method. It used `isBuilding()` as the condition to detect a running build and placed the check after the `isPendingDelete` guard, throwing an IOException if the build was still running.","The agent used `isBuilding()` instead of `isLogUpdated()` as the condition, and placed the check inside the `synchronized` block rather than before it. The correct fix uses `isLogUpdated()` (which checks if the build log is still being updated, a more accurate indicator of an incomplete build) and places it *before* the `synchronized` block. Additionally, the agent failed to remove the `logRotate()` call from the `execute()` method's completion logic, which was the other half of the fix needed to avoid race conditions where the build discarder could run before the build was fully complete.","A Jenkins contributor would know that `isLogUpdated()` is a more precise signal than `isBuilding()` for whether a build is truly still in-progress (covering edge cases like post-build finalization), and that `logRotate()` being called inside `execute()` before `onEndBuilding()` creates a race condition where build discarders can act on builds not yet fully finalized. The contributor would also understand the relationship between `BackgroundGlobalBuildDiscarder` and the `logRotate()` call, knowing that removing the in-execution `logRotate()` call is necessary because the background discarder handles rotation after builds complete."
jenkins-9810,[JENKINS-73835] Do not allow builds to be deleted while they are still running and ensure build discarders run after builds are fully complete,d34b17ee4b,2024-10-12,"core/src/main/java/hudson/model/Run.java, core/src/main/java/hudson/tasks/LogRotator.java, core/src/main/java/jenkins/model/BackgroundGlobalBuildDiscarder.java, core/src/main/java/jenkins/model/GlobalBuildDiscarderListener.java",4,issue_report,FAIL,0.7497,181,tool_use,The agent attempted to fix the bug by adding a check in the `DeleteBuildsCommand.act()` method (the CLI delete-builds command handler) to reject deletion of running builds by checking `build.isLogUpdated()` before calling `build.delete()`. This is a surface-level fix at the CLI command layer.,"The agent fixed only one entry point (the CLI command) rather than fixing the root cause in `Run.delete()` itself, which is the correct defensive location. The ground truth fix adds the guard inside `Run.delete()` so that ALL callers (REST API, CLI, LogRotator, plugins, etc.) are protected. The agent also missed the second part of the fix: removing the `getParent().logRotate()` call from within the build's finishing sequence, which was needed to prevent build discarders from running before builds are fully complete.","A Jenkins contributor would know to apply defensive checks at the lowest-level shared method (`Run.delete()`) rather than at individual callers, because Jenkins has many entry points (REST API via `doDelete`, CLI, internal callers) and patching each one is fragile. They would also understand the build lifecycle subtlety that `logRotate()` was being called inside the build completion block before `onEndBuilding()`, meaning build discarders could race with builds still wrapping up — and that this call needed to be moved or removed entirely, with `BackgroundGlobalBuildDiscarder` or `GlobalBuildDiscarderListener` handling post-build cleanup instead."
jenkins-9908,[JENKINS-73845] Fix OperatingSystemEndOfLifeAdminMonitor endOfLifeDate displayed on first warning day,9e256de2d1,2024-10-26,core/src/main/java/jenkins/monitor/OperatingSystemEndOfLifeAdminMonitor.java,1,level1_full,PASS,0.1321,34,end_turn,,,
jenkins-9908,[JENKINS-73845] Fix OperatingSystemEndOfLifeAdminMonitor endOfLifeDate displayed on first warning day,9e256de2d1,2024-10-26,core/src/main/java/jenkins/monitor/OperatingSystemEndOfLifeAdminMonitor.java,1,issue_report,PASS,0.0917,26,end_turn,,,
jenkins-9947,[JENKINS-74795] Job created via REST API attaches to default view,8298257227,2024-11-08,core/src/main/java/hudson/model/ModifiableItemGroup.java,1,level1_full,PASS,0.5377,153,tool_use,,,
jenkins-9947,[JENKINS-74795] Job created via REST API attaches to default view,8298257227,2024-11-08,core/src/main/java/hudson/model/ModifiableItemGroup.java,1,issue_report,FAIL,0.6677,111,tool_use,"The agent used 111 turns exploring the codebase and analyzing the bug, but ultimately made no actual file edits or writes. It appears to have spent its entire turn budget on investigation, reading files, and reasoning without ever committing a code change to the source file.","The agent failed to produce any output — it never called an Edit or Write tool to make the actual one-line fix. Even if it correctly identified the problem (the `@StaplerNotDispatchable` annotation preventing proper POST-only dispatch enforcement), it did not translate that understanding into a concrete code change, exhausting its turn limit without acting.","A Jenkins contributor would know that `@StaplerNotDispatchable` marks a method as not directly dispatchable by Stapler (meaning it shouldn't be called via HTTP dispatch at all in the default interface method context), while `@RequirePOST` restricts dispatch to POST requests only — these have very different semantics. The contributor would understand that the regression in 2.475 likely changed how Stapler dispatches to default interface methods, and that replacing `@StaplerNotDispatchable` with `@RequirePOST` properly gates the endpoint to POST-only access without blocking dispatch entirely, fixing the unintended side effect of jobs being added to the default view when the fallback code path was triggered."
